timestamp_us,x,y,z,qx,qy,qz,qw,vx,vy,wz,u_steering_angle,u_longitudinal_actuation,ref_traj_0_x,ref_traj_0_y,front_steering_angle,acceleration,x_ref_0,y_ref_0,yaw_ref_0
1569810276764,4.103038311004639,0.0217912457883358,0.021826505661010742,-0.004939624108374119,7.749030191916972e-05,0.008842681534588337,0.9999486804008484,8.270934157951698,0.06046857941456291,0.042746408820075986,0.019167975477928645,0.23491304448842557,0.0015115737915039062,0.004740267992019653,0.016987460800714154,0.14833795972241323,0.0015115737915039062,0.004740267992019653,-6.1062619352014735e-06
1569810376764,4.927159309387207,0.04042670130729675,0.007460341323167086,-0.002444351790472865,-0.0008724025101400912,0.011068222112953663,0.9999354481697083,8.242314139766659,0.06650165528148155,0.04685524592014869,0.01824674944472428,0.3062765254341901,0.0,0.0,0.01778264996767108,0.2480696908835732,0.0,0.0,0.0
1569810476764,5.759040355682373,0.05867777019739151,0.006454401649534702,-0.003083558985963464,-0.0007009176770225167,0.013370655477046967,0.9999057054519653,8.341333022981207,0.0676433676499656,0.04772920191196601,0.017348520414251643,0.188672182404038,0.0,0.0,0.01750851494741419,0.21056259867574512,0.0,0.0,0.0
1569810576764,6.593329906463623,0.08103626221418381,0.005005537532269955,-0.0032233770471066236,-0.0003889317740686238,0.015718840062618256,0.9998711943626404,8.36740672959356,0.06617502597695495,0.046750649158036076,0.016777120756483636,0.1822994602125497,0.0,0.0,0.01704666949191072,0.19271558509626277,0.0,0.0,0.0
1569810676764,7.4256768226623535,0.10677522420883179,0.003806125605478883,-0.003471149131655693,0.00010112959716934711,0.01817806251347065,0.9998288154602051,8.348522138120602,0.06397435114730518,0.045191907423652075,0.016199736228016563,0.2431047653525253,0.0,0.0,0.016511865847180406,0.22453428723592694,0.0,0.0,0.0
1569810776764,8.263708114624023,0.1369260847568512,0.002734292997047305,-0.004142573103308678,0.0006127768428996205,0.020478466525673866,0.9997815489768982,8.406400163517125,0.06195309934941134,0.043802507255961395,0.015405308342819153,0.18482163370246135,0.0,0.0,0.015813120135251404,0.1994573741460384,0.0,0.0,0.0
1569810876764,9.104043960571289,0.17123949527740479,0.001039908966049552,-0.00486955139786005,0.0009215514874085784,0.022654499858617783,0.9997310638427734,8.43056756476345,0.05966258381506549,0.042245348347971445,0.014981791650609018,0.17632831682246589,0.0,0.0,0.015288170269059308,0.18485232238676697,0.0,0.0,2.117582368135751e-22
1569810976764,9.942669868469238,0.20922325551509857,-0.000906643399503082,-0.005770980380475521,0.0009696038905531168,0.024814452975988388,0.9996749758720398,8.414875198401141,0.05852334436483967,0.04130480799091874,0.014539466230779471,0.22788594342866603,0.0,0.0,0.014815394354395979,0.21202629034893067,0.0,0.0,0.0
1569811076764,10.785372734069824,0.25202906131744385,-0.007450656965374947,-0.0061540729366242886,0.00085525430040434,0.026818128302693367,0.9996210336685181,8.457855408796961,0.056452566728123474,0.03986506143978173,0.013721786747544996,0.1874851745941885,0.0,0.0,0.01412482597199532,0.1965295815633554,0.0,0.0,0.0
1569811176764,11.628660202026367,0.29816776514053345,-0.014950262382626534,-0.0060680280439555645,0.0005627364735119045,0.028850993141531944,0.9995651841163635,8.46580561425815,0.05301442769718525,0.037438200527933646,0.012564618639085322,0.19945284468051236,0.0,0.0,0.013139618986100502,0.19837550241238774,0.0,0.0,0.0
1569811276764,12.476316452026367,0.3477258086204529,-0.020764395594596863,-0.005554568022489548,0.00028051561093889177,0.030894186347723007,0.9995071887969971,8.50986490344173,0.04788311693941659,0.033849909565070266,0.010763668003221169,0.15306281618215226,0.0,0.0,0.011639303318367765,0.16976239819089697,0.0,0.0,-3.725290298461914e-09
1569811376764,13.32524299621582,0.40034329891204834,-0.023987919092178345,-0.0051232315599918365,0.00021273081074468791,0.032890621572732925,0.9994457960128784,8.523009474892676,0.04091662204056519,0.0289774415210055,0.00881137795672772,0.15067306141540845,0.0,0.0,0.009853584354542321,0.15770826439046634,0.0,0.0,0.0
