timestamp_us,x,y,z,qx,qy,qz,qw,vx,vy,wz,u_steering_angle,u_longitudinal_actuation,ref_traj_0_x,ref_traj_0_y,front_steering_angle,acceleration,x_ref_0,y_ref_0,yaw_ref_0
4798870959054,4.164634704589844,-0.0017818068154156208,0.043417610228061676,-0.007613229099661112,-0.005677723791450262,0.003921971656382084,0.9999472498893738,8.326020806248652,-0.0035107346090870405,-0.0022462522633112138,-0.001950820882378094,0.14358106126985234,0.005847454071044922,0.0068181417882442474,-0.000938390660016977,0.09066555554601441,0.005847454071044922,0.0068181417882442474,-3.463445318629965e-05
4798871059054,5.001317977905273,0.008729085326194763,0.03828074038028717,-0.00565191637724638,-0.007396818138659,0.003861826378852129,0.9999492764472961,8.316234103362799,-0.010060476591003252,-0.006970352801579242,-0.004052265953954925,0.16717145260683394,0.0,0.0,-0.002904675286478168,0.13897589395846519,0.0,0.0,3.3881317890172014e-21
4798871159054,5.833569526672363,0.013633541762828827,0.05080988258123398,-0.010345016606152058,-0.0035513839684426785,0.003674188395962119,0.9999335408210754,8.33667566035835,-0.01475208584084417,-0.010476509271007248,-0.005216884031842079,0.1545108674891394,0.0,0.0,-0.004364740343684913,0.14878559304478156,0.0,0.0,0.0
4798871259054,6.669192790985107,0.01984095573425293,0.0617193840444088,-0.015587600879371166,-0.0007926410180516541,0.0037095879670232534,0.9998713731765747,8.37105587561014,-0.02035801099644315,-0.014650782777257117,-0.007491661216675969,0.11946655509827549,0.0,0.0,-0.006339262718647256,0.13027182221745312,0.0,0.0,-1.0839374746894875e-19
4798871359054,7.507259368896484,0.02752966806292534,0.06955721974372864,-0.017446836456656456,-0.000395390234189108,0.0034631122834980488,0.9998418092727661,8.393985240335494,-0.028248573282225752,-0.020166372853558795,-0.009368370758569953,0.10055146069819008,0.0,0.0,-0.008252020298369613,0.11150463200210849,0.0,0.0,0.0
4798871459054,8.34611701965332,0.033891674131155014,0.07476863265037537,-0.015863042324781418,-0.0011367540573701262,0.002745926845818758,0.9998697638511658,8.400422049837283,-0.035281471616143215,-0.024884914404950574,-0.010019343351209322,0.10565236828297678,0.0,0.0,-0.009368012372796736,0.10780916731753125,0.0,0.0,0.0
4798871559054,9.185019493103027,0.03737242892384529,0.07735677808523178,-0.01566036231815815,-0.001303032855503261,0.001805147621780634,0.9998749494552612,8.400254189201272,-0.03767010062580993,-0.026597707683606066,-0.010063167628752699,0.11920349685582712,0.0,0.0,-0.00980697442611047,0.11500421942626553,0.0,0.0,0.0
4798871659054,10.024215698242188,0.040525540709495544,0.07783697545528412,-0.017672626301646233,-0.0004459969641175121,0.000546924420632422,0.9998435974121094,8.403599235888567,-0.0363538524385184,-0.025892376109753857,-0.009679623389920696,0.12673701469791623,0.0,0.0,-0.00972655746621765,0.12241299877365164,0.0,0.0,2.3283062977608182e-10
4798871759054,10.865530014038086,0.042469270527362823,0.07763481885194778,-0.017566541209816933,0.0015550358220934868,-0.0004729584325104952,0.9998444318771362,8.424908163485155,-0.03729564531111321,-0.02646272687714546,-0.0098454650189204,0.10690151412578724,0.0,0.0,-0.00980164271234318,0.11261813195414169,0.0,0.0,-1.1641533570472262e-10
4798871859054,11.710654258728027,0.04098132252693176,0.07762911915779114,-0.014824814163148403,0.0036312388256192207,-0.0013484128285199404,0.9998826384544373,8.461621165865811,-0.03909560466533725,-0.02753422498066121,-0.009766403237335266,0.06174412891958253,0.0,0.0,-0.0097793904281597,0.08049328410036406,0.0,0.0,1.3234889800848443e-23
4798871959054,12.558985710144043,0.03686309978365898,0.07735256105661392,-0.012184636667370796,0.003921924624592066,-0.002489221515133977,0.9999150037765503,8.490834337915237,-0.037653321457311636,-0.02652780394004243,-0.008851361297323541,0.02523999725640696,0.0,0.0,-0.009193378067156123,0.04560309800516965,0.0,0.0,2.3283069916502086e-10
4798872059054,13.408863067626953,0.030942872166633606,0.07616858929395676,-0.010277539491653442,0.00219364813528955,-0.003571889828890562,0.9999384880065918,8.503586572631724,-0.034786715731187384,-0.02454361381513322,-0.008039529654437823,0.011573845644398237,0.0,0.0,-0.008464770084809656,0.024115019822586403,0.0,0.0,0.0
4798872159054,14.258942604064941,0.02341872826218605,0.07552672177553177,-0.008460299111902714,-0.0005741414497606456,-0.004637830425053835,0.9999533295631409,8.503998730301818,-0.032058972539837305,-0.022561695917721888,-0.0071831627684650675,0.015066589189242871,0.0,0.0,-0.007655487591000587,0.018401306726053376,0.0,0.0,0.0
4798872259054,15.108717918395996,0.013772032223641872,0.07665451616048813,-0.007163706235587597,-0.0029168452601879835,-0.00564527977257967,0.9999541640281677,8.500470641377552,-0.02899514976045316,-0.020369382320826954,-0.006345784203772858,0.02331758879184582,0.0,0.0,-0.006828463579941603,0.02150573735759914,0.0,0.0,0.0
4798872359054,15.958063125610352,0.002239720895886421,0.08005072921514511,-0.006643782835453749,-0.003928501624614,-0.006360924802720547,0.9999499917030334,8.49533266736535,-0.02371839497790727,-0.01666905698913642,-0.0045445578969961035,-0.019201224523586254,0.0,0.0,-0.0053862707466557835,-0.004199040702312334,0.0,0.0,-1.8626449271863521e-09
4798872459054,16.807340621948242,-0.010044538415968418,0.0858217105269432,-0.0064309220761060715,-0.0035569649189710617,-0.0067680757492780685,0.999950110912323,8.49486826933077,-0.010817093566692273,-0.007484843459743764,0.0011225063995593198,0.026214008762157924,0.0,0.0,-0.0012762447399689092,0.01500555356073053,0.0,0.0,9.313227966600834e-10
4798872559054,17.656719207763672,-0.022507652640342712,0.0927436500787735,-0.00622380618005991,-0.002410084707662463,-0.007083516102284193,0.9999526739120483,8.495115095111244,-0.011611531354305081,-0.008278910859968224,-0.004937078541365035,-0.01901317507977018,0.0,0.0,-0.003587911246886552,-0.006475879323814692,0.0,0.0,-9.313225746154785e-10
4798872659054,18.508237838745117,-0.038488879799842834,0.11170321702957153,-0.008700886741280556,-0.0037584661040455103,-0.007474497891962528,0.9999271631240845,8.498142494806554,-0.009188313883728214,-0.006500322628196854,-0.0009465730698910043,0.09324132388896375,0.0,0.0,-0.0019200144429194013,0.05649144761207897,0.0,0.0,4.3283383604694747e-19
4798872759054,19.358192443847656,-0.05176158994436264,0.1193997859954834,-0.008997484110295773,-0.004021619912236929,-0.008048207499086857,0.999919056892395,8.492336092561317,-0.02611491406380931,-0.018689510185147324,-0.012938909056408677,-0.25434364204876325,0.0,0.0,-0.00887799478377622,-0.13978817198433105,0.0,0.0,-9.313225746154785e-10
4798872859054,20.207050323486328,-0.06599386036396027,0.12492024153470993,-0.009092201478779316,-0.004368538502603769,-0.00893364567309618,0.9999092817306519,8.477199999017568,-0.019155520030706582,-0.013515270472304754,-0.000367075163574993,-0.17118973634047172,0.0,0.0,-0.003503697862243151,-0.15961697288734547,0.0,0.0,-1.862645149230957e-09
4798872959054,21.053668975830078,-0.08208657056093216,0.13333961367607117,-0.009570345282554626,-0.0042949547059834,-0.009644991718232632,0.9998984932899475,8.46118511501475,-0.024085346100094013,-0.017157344783856613,-0.009505826785429812,-0.16106014247421924,0.0,0.0,-0.007293796280980654,-0.16052827533339095,0.0,0.0,0.0
